LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
Solenette,Solenette,Solea lutea,John,yes,NA,4,LC,"is a demersal species that occurs at depths ranging from less than 1 m to 450 m. This small flatfish species prefers shallow, sandy and muddy bottoms near river outflows, though it avoids the low salinity waters of large estuaries"
Song thrush,Song thrush,Turdus philomelos,Isla,yes,partWorld,10,LC,"temperate forest and woodland, generally in lowlands and valleys but reaching the tree-line in Switzerland and Russia. It requires patches of trees and bushes with small areas of open moist ground supporting abundant invertebrate fauna. It has also adapted well to modern lowland agricultural and urban landscapes, breeding in small woodlots, parkland, orchards, mature hedgerows, overgrown railway embankments, roadsides, cemeteries, and suburban gardens"
Soprano pipistrelle,Soprano pipistrelle,Pipistrellus pygmaeus,Isla,yes,Europe,2,LC,woodland and wetlands
Spotted dragonet,Spotted dragonet,Callionymus maculatus,John,yes,NA,1,LC," benthic fish with a maximum size of 16cm TL that lives on sand bottoms (Fricke in press). Species of the Callionymidae family spawn in pairs. Their eggs, larvae, and postlarvae are pelagic (Heemstra and Heemstra 2004). In a study conducted off Scotland, the spawning season of C. maculatus was from April-September, females matured faster than males and are serial spawners, and males may reach first maturity at different ages (c. 5 cm; Gibson and Ezzi 1979)."
Spotted flycatcher,Spotted flycatcher,Muscicapa striata,Isla,yes,partWorld,12,LC,"open woodland or timbered area with raised perches providing an open view. During the breeding season it favours well-spaced mature trees to younger trees and bushes, and thus has adapted well to avenues, parks, gardens, orchards and other man-made habitats, as well as occupying many types of deciduous or coniferous woodland. It is also found at woodland edges, in forest glades, clearings and burnt patches, and in trees along streams, rivers and edges of standing water."
Spotted ray,Spotted ray / Homelyn ray / Spotted homelyn ray,Raja montagui,John,yes,NA,3,LC,"most common on sandy sediments in coastal and shelf seas (Ellis et al. 2005a), though may occur deeper in the southern parts of its range. Raja montagui is found at intermediate depths on the shallow shelf and was captured in the MEDITS surveys at depths between 28 to 530 m, but the bulk of the population appears to exist between 100 to 500 m (Baino et al. 2001)."
Stock pigeon / stock dove,Stock pigeon / stock dove,Columba oenas,Isla,yes,Europe,3,LC,"woodland-edge habitat, parks and farmland "
Striped dolphin,Striped dolphin / Blue dolphin / Blue-white dolphin / Euphrosyne dolphin,Stenella coeruleoalba,John,yes,NA,4,LC,"Striped dolphins are primarily found in warm temperate and tropical oceanic regions and are seen close to shore only where deep water approaches the coast (Van Waerebeek et al. 1999). In the North Pacific they are associated with oligotrophic waters of the central North Pacific gyre and with more productive regions associated with upwelling areas in the eastern tropical Pacific and along the edges of the California and Kuroshio Current systems (Miyazaki et al. 1974; Reilly 1990; Archer and Perrin 1999; Balance et al. 2006). In the western North Atlantic, striped dolphins appear to prefer continental slope waters offshore of the Gulf Stream (Leatherwood et al. 1976; Schmidly 1981; Perrin et al. 1994). In the Mediterranean, striped dolphins are associated with highly productive, oceanic waters beyond the continental shelf (Notarbartolo di Sciara et al. 1993; Forcada et al. 1994; Frantzis et al. 2003; Gannier 2005). Off South Africa, the species is oceanic, occurring beyond the continental shelf at depths of over 1,000 m, and its distribution is correlated with the warm Agulhas Current (Ross 1984)."
Surmullet,Surmullet / Red mullet / Red stripped mullet,Mullus surmuletus,John,yes,NA,2,LC,"Off the island of Majorca, the highest concentration of this species is found between 30 and 70 m, replaced in deeper water by M. barbatus (Reí±ones et al. 1995), a difference in bathymetrical distribution which has also been recorded along the Catalonian coast (Síçnchez et al. 1983) and in Israel (Golani and Galil 1991).Migrations to shallow waters (from 10 to 40 meters in depth) by mature adults occur in the spring and summer, followed by a concentration of juveniles close to the coast in summer and autumn. Juveniles recruit in shallow waters and move to deeper waters as they grow (Gharbi and Ktari 198 "
Tawny owl,Tawny owl,Strix aluco,Isla,yes,Europe,6,LC,"broad-leaved forest, however it adapts well to man-made and altered habitats. It is found in urban areas, clear-felled areas and intensive agricultures. In woodland habitats it inhabits mixed conifer and broad-leaved forests, sub-alpine conifer forest and conifer plantations "
Thinlip mullet,Thinlip mullet,Liza ramada,Isla,yes,Europe,4,LC,"Pelagic near shore, entering lagoons and lower reaches of rivers, often found in polluted waters. Spawns offshore at sea. "
Three spined stickleback,Three spined stickleback,Gasterosteus aculeatus,Isla,yes,partWorld,5,LC," quiet weedy pools and backwaters. It is also found in the marginal vegetation of streams, over sand and mud bottom substrates. Marine populations are pelagic, and usually found inshore along the coast, in estuaries and coastal lagoons. "
Tree sparrow / Eurasian tree sparrow,Tree sparrow / Eurasian tree sparrow,Passer montanus,Isla,yes,partWorld,7,LC,"hedgerow trees, orchards, gardens and farmyards and less commonly in light woodland. In the east it is found increasingly not only in built-up areas, but also in open arid country. In the Far East where P. domesticus is absent it is common in built-up areas and is even found in urban centres."
Tub gurnard,Tub gurnard / Sapphirine gurnard / Searobin,Chelidonichthys lucerna,John,yes,NA,4,LC,"This is a demersal species that occurs at temperatures ranging from 8.0-24.0ŒÁC (Moreira et al. 1992). It inhabits sand, muddy sand or gravel substrata. It is found to a depth of 320 m in the east Ionian Sea (Mytilineou et al. 2005). "
Tufted duck,Tufted duck,Aythya fuligula,Isla,yes,partWorld,10,LC,"large, freshwater lakes, ponds, reservoirs (del Hoyo et al. 1992, Kear 2005a), gravel-pits (Kear 2005a) and quiet stretches (Kear 2005a) of wide slow-flowing rivers during this season (del Hoyo et al. 1992, Kear 2005a). Non-breeding During the winter the species frequents large freshwater lakes (Kear 2005a), reservoirs (Snow and Perrins 1998) and sheltered coastal locations (Kear 2005a) such as brackish lagoons (del Hoyo et al. 1992), brackish inland seas (Kear 2005a) (e.g. Caspian Sea) (Scott and Rose 1996), tidal bays (del Hoyo et al. 1992) and estuaries"
Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus,Isla,yes,partEurope,10,LC,"breeds near shallow pools, lakes (del Hoyo et al. 1992) and broad slow-flowing rivers (del Hoyo et al. 1992, Kear 2005a) with emergent littoral vegetation and pondweeds (e.g. Potamogeton spp.) connected to coastal delta areas (Kear 2005a) in open, moist, low-lying sedge-grass or moss-lichen (Kear 2005a) Arctic tundra (del Hoyo et al. 1992). It rarely nests in shrub tundra, and generally avoids forested areas (Kear 2005a). Non-breeding On migration the species frequents shallow ponds (Kear 2005a), lowland and upland lakes (Madge and Burn 1988, Kear 2005a), reservoirs (Madge and Burn 1988), riverine marshes, shallow saline lagoons (Kear 2005a) and sheltered coastal bays and estuaries (Madge and Burn 1988). During the winter it inhabits brackish and freshwater marshes "
Turbot,Turbot / Britt / Breet,Scopthalmus maximus,John,yes,NA,NA,NA,NA
Twaite shad,Twaite shad,Alosa fallax,Isla,yes,Europe,3,LC,"At sea, pelagic. Juveniles remain close to shore and estuaries. Migrates from sea to rivers, "
Twite,Twite,Carduelis flavirostris,Isla,yes,partWorld,9,LC," lower montane and submontane plateaux, open moorland, barren hillsides, scree slopes, boulder-strewn areas with little or sparse vegetation, steppes, alpine meadows and areas with stunted bushes and often near boggy areas. "
Water rail,Water rail,Rallus aquaticus,Isla,yes,partWorld,12,LC,"reedbeds and other emergent vegetation in fresh and saline swamps, fens and marshes (del Hoyo et al. 1996, Taylor 1998) and at the fringes of open fresh or saline lakes (del Hoyo et al. 1996, Taylor 1998). Other habitats include clay pits, gravel pits, peat excavations (Taylor 1998), river oxbows and channels, damp meadows and rice paddy-fields (del Hoyo et al. 1996). Rather than occupying large uniform wet areas in larger habitats, the species shows a preference for wetlands that form a mosaic with drier patches and areas of trees (e.g. willow Salix spp. [Taylor 1998]) or other fringing scrub (Taylor 1998). Non-breeding On migration and in the winter the species frequents riverbanks "
Western Green Lizard,Western Green Lizard,Lacerta bilineata,Isla,yes,partEurope,6,LC,"grassy areas with scattered trees and shrubs and damp areas with dense vegetation within scrubland and forests (deciduous and mixed). It is also found at woodland edges, and close to fences and hedges in traditionally cultivated land "
Western marsh harrier,Western marsh harrier,Circus aeruginosus,Isla,yes,partWorld,2,LC," dense marsh vegetation, in fresh or brackish water, "
Whinchat,Whinchat,Saxicola rubetra,Isla,yes,partWorld,8,LC," wet meadows, pastures, bogs, upland grassland, bracken-covered hillsides, heath, dry or wet open scrub and the fringes of reedbeds. "
White wagtail / Pied wagtail,White wagtail / Pied wagtail,Motacilla alba,Isla,yes,partWorld,7,LC,"seashores, rocky or sandy upland rivers and slow-moving lowland rivers, lakeshores, farmland, gardens, parks, short grassland such as that found in vicinity of factories in towns and cities."
White-tailed eagle,White-tailed eagle,Haliaeetus albicilla,Isla,yes,partWorld,3,LC," lake, coast or river valley, within the boreal, temperate and tundra zones"
Whiting,Whiting,Merlangius merlangus,Isla,yes,partEurope,3,LC,on mud and gravel bottoms but also on sand and rock. The young are found in shallower waters from five to 30 m depth. 
Whooper swan,Whooper swan,Cygnus cygnus,Isla,yes,partWorld,5,LC," shallow freshwater pools, lakes, slow-flowing rivers (del Hoyo et al. 1992), marshes, swamps and bogs  estuaries and sheltered coasts (Kear 2005a). It traditionally winters on freshwater lakes and marshes"
Wild boar / Wild pig,Wild boar / Wild pig,Sus scrofa,Isla,yes,partWorld,9,LC,"emi-desert to tropical rain forests, temperate woodlands, grasslands and reed jungles; often venturing onto agricultural land to forage. It is found in a variety of habitats. In Europe, it prefers broadleaved forests and especially evergreen oak forests, but may also be found in more open habitats such as steppe, Mediterranean shrubland"
Willow grouse / Red grouse / Willow ptarmigan,Willow grouse / Red grouse / Willow ptarmigan,Lagopus lagopus,Isla,yes,partWorld,2,LC,"Arctic tundra, extending south in alpine mountain ranges and along or below the tree line, in openings of boreal forest. I"
Willow tit,Willow tit,Parus montanus,Isla,yes,partWorld,6,LC,"forests and woodlands, principally coniferous forests of pine (Pinus), larch (Larix) and spruce (Picea), and in Siberian taiga it is most frequently in steppe-forest of Siberian stone pine (Pinus sibirica). It is also often in dense and damp areas, especially Sphagnum bogs and areas of willows (Salix) or alders (Alnus) and on tundra edge. In Europe also occurs in willows, alders and more shrubby vegetatio"
Willow warbler,Willow warbler,Phylloscopus trochilus,Isla,yes,partWorld,6,LC,"deciduous and mixed forests in which birch (Betula) largely predominates, but also birches and willow (Salix) thickets and scrub on arctic tundra. In central areas it is found in temperate heathland, forest clearings, damp areas with alders (Alnus) and willows as well as secondary growth, scrub and shrubby areas away from trees."
Winter wren,Winter wren,Troglodytes troglodytes,Isla,yes,partWorld,7,LC,"boreal forest, temperate forest, subtropical lowland forest, boreal shrubland, temperature shrubland, rural gardens, urban areas"
Wood lark,Wood lark,Lullula arborea,Isla,yes,Europe,12,LC," low-intensity or abandoned farmland, heathland, young forestry plantations, recently felled woodland, open woodland and scrub, orchards, steppes, woodland edges and clearings, wooded coastal dunes and parkland."
Wood mouse,Wood mouse,Apodemus sylvaticus,Isla,yes,World,10,LC,"woodland, moorland, steppe, arid Mediterranean shrubland, and sand dunes. It is also found in many man-made habitats including suburban and urban parks, gardens and wasteland, pastures and arable fields, and forestry plantations."
Wood nuthatch / Eurasian nuthatch,Wood nuthatch / Eurasian nuthatch,Sitta europaea,Isla,yes,partWorld,2,LC,"boreal forest, temperate forest"
Wood pigeon / Common wood-pigeon,Wood pigeon / Common wood-pigeon,Columba palumbus,Isla,yes,partWorld,2,LC," farmland, parks and suburban gardens (Tucker and "
Yellowhammer,Yellowhammer,Emberiza citrinella,John,yes,NA,7,LC,"characteristic species of the transition zone between woodland and open country, such as (extensively managed) farmland with hedges, forest clearings, young plantations, scrubs, heath and natural grasslands. During winter it gathers in flocks, often in farmland on stubble fields or other weedy habitats (Hagemeijer and Blair 1997, Copete 2016). "
